Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,Signal,Position
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,,,,
Date,,,,,,,,,
2023-12-13,48.06122970581055,48.56694852407048,47.58149738885303,47.60248560623417,447792000,47.785719108581546,45.78412307739258,1.0,1.0
2023-12-14,48.32307434082031,48.64289584092454,47.395593515547255,48.36305298147659,391232000,47.75904865264893,45.87033233642578,1.0,1.0
2023-12-15,48.86277770996094,49.37649145661912,48.09320598416868,48.16716609290554,479948000,47.72978248596191,45.954403991699216,1.0,1.0
2023-12-18,50.04911804199219,50.40491882356695,49.12263603296827,49.37249683921415,412587000,47.76892719268799,46.04073638916016,1.0,1.0
2023-12-19,49.57637405395508,49.67232125952952,48.86776928450163,49.396473996646186,464444000,47.72892074584961,46.12738777160644,1.0,1.0
2023-12-20,48.08421325683594,49.971162561409855,48.07122000684809,49.6273523215611,397894000,47.63754119873047,46.173702545166016,1.0,1.0
2023-12-21,48.96272277832031,49.06766385409553,48.39203776733346,48.783821596134075,300425000,47.6514476776123,46.21744049072266,1.0,1.0
2023-12-22,48.802818298339844,49.35550803515768,48.44001760392499,49.16761296876515,252507000,47.70432834625244,46.25520217895508,1.0,1.0
2023-12-26,49.251556396484375,49.572376781102484,48.93273380006729,48.9407287654443,244200000,47.75636100769043,46.33159950256348,1.0,1.0
2023-12-27,49.38948440551758,49.65233845498923,49.05766853127738,49.483433835302336,233648000,47.83632698059082,46.39808349609375,1.0,1.0
2023-12-28,49.494422912597656,49.85622084400242,49.384483556355164,49.61535772949362,246587000,47.905599975585936,46.50977844238281,1.0,1.0
2023-12-29,49.494422912597656,49.969160695229064,48.7238523373362,49.78526123454254,389293000,48.043328857421876,46.656290969848634,1.0,1.0
2024-01-02,48.141178131103516,49.267549491534815,47.56849914375037,49.21657920112469,411254000,48.11364517211914,46.777637329101566,1.0,1.0
2024-01-03,47.542510986328125,48.15716638258974,47.29364909537562,47.45855812854748,320896000,48.21673774719238,46.901281127929686,1.0,1.0
2024-01-04,47.97127914428711,48.47299856752152,47.481550264732384,47.740404942993884,306535000,48.28829803466797,47.00176078796387,1.0,1.0
